uid	new_split	dataset	original_split	doc_id	sent_id	sentence	marked_sentence	source	target	trigger	arguments	event_type	gold_binary
46	train	ace	test	3612	69	A spokesman said a group of 25 to 30 armed men Wednesday attacked a house belonging to a village quack doctor in Tultuli, 60 kilometers (38 miles) south of Tripuras state capital Agartala.	A spokesman said <s>a group of 25 to 30 armed men</s> Wednesday attacked a house belonging to a village quack doctor in <t>Tultuli, 60 kilometers (38 miles) south of Tripuras state capital Agartala</t>.	Attacker:a group of 25 to 30 armed men	Place:Tultuli, 60 kilometers (38 miles) south of Tripuras state capital Agartala	attacked	{'Attacker': ['a group of 25 to 30 armed men'], 'Place': ['Tultuli, 60 kilometers (38 miles) south of Tripuras state capital Agartala'], 'Target': ['a house belonging to a village quack doctor in Tultuli, 60 kilometers (38 miles) south of Tripuras state capital Agartala']}	Conflict:Attack	1
47	train	ace	test	3612	69	A spokesman said a group of 25 to 30 armed men Wednesday attacked a house belonging to a village quack doctor in Tultuli, 60 kilometers (38 miles) south of Tripuras state capital Agartala.	A spokesman said <s>a group of 25 to 30 armed men</s> Wednesday attacked <t>a house belonging to a village quack doctor in Tultuli, 60 kilometers (38 miles) south of Tripuras state capital Agartala</t>.	Attacker:a group of 25 to 30 armed men	Target:a house belonging to a village quack doctor in Tultuli, 60 kilometers (38 miles) south of Tripuras state capital Agartala	attacked	{'Attacker': ['a group of 25 to 30 armed men'], 'Place': ['Tultuli, 60 kilometers (38 miles) south of Tripuras state capital Agartala'], 'Target': ['a house belonging to a village quack doctor in Tultuli, 60 kilometers (38 miles) south of Tripuras state capital Agartala']}	Conflict:Attack	1
49	train	ace	train	620	98	central command says it is investigating iraqi allegations that u.s. attacks are to blame for hundreds of civilians casualties in hillah.	central command says it is investigating <t>iraqi</t> allegations that <s>u.s</s>. attacks are to blame for hundreds of civilians casualties in hillah.	Attacker:u.s	Place:iraqi	attacks	{'Attacker': ['u.s'], 'Place': ['iraqi', 'hillah'], 'Target': ['civilian']}	Conflict:Attack	1
50	train	ace	train	620	98	central command says it is investigating iraqi allegations that u.s. attacks are to blame for hundreds of civilians casualties in hillah.	central command says it is investigating iraqi allegations that <s>u.s</s>. attacks are to blame for hundreds of <t>civilians</t> casualties in hillah.	Attacker:u.s	Target:civilians	attacks	{'Attacker': ['u.s'], 'Place': ['iraqi', 'hillah'], 'Target': ['civilian']}	Conflict:Attack	1
51	train	ace	train	620	98	central command says it is investigating iraqi allegations that u.s. attacks are to blame for hundreds of civilians casualties in hillah.	central command says it is investigating iraqi allegations that <s>u.s</s>. attacks are to blame for hundreds of civilians casualties in <t>hillah</t>.	Attacker:u.s	Place:hillah	attacks	{'Attacker': ['u.s'], 'Place': ['iraqi', 'hillah'], 'Target': ['civilian']}	Conflict:Attack	1
52	train	ace	train	669	126	his brother, uday, was very highly personal, arbitrary, spontaneous in his attacks, extended to young girls, to friends, to employees.	<s>his brother</s>, uday, was very highly personal, arbitrary, spontaneous in his attacks, extended to young girls, to <t>friends</t>, to employees.	Attacker:his brother	Target:friends	attacks	{'Target': ['young girls', 'friends', 'employees']}	Conflict:Attack	1
53	train	ace	train	669	126	his brother, uday, was very highly personal, arbitrary, spontaneous in his attacks, extended to young girls, to friends, to employees.	<s>his brother</s>, uday, was very highly personal, arbitrary, spontaneous in his attacks, extended to young girls, to friends, to <t>employees</t>.	Attacker:his brother	Target:employees	attacks	{'Target': ['young girls', 'friends', 'employees']}	Conflict:Attack	1
54	train	ace	train	669	126	his brother, uday, was very highly personal, arbitrary, spontaneous in his attacks, extended to young girls, to friends, to employees.	<s>his brother</s>, uday, was very highly personal, arbitrary, spontaneous in his attacks, extended to <t>young girls</t>, to friends, to employees.	Attacker:his brother	Target:young girls	attacks	{'Target': ['young girls', 'friends', 'employees']}	Conflict:Attack	1
55	train	ace	train	1297	132	in gaza, a pair of israeli gun ship attack, aerial attacks that have threatened to derail the road map to peace, as it is called.	in <t>gaza</t>, a pair of <s>israeli</s> gun ship attack, aerial attacks that have threatened to derail the road map to peace, as it is called.	Attacker:israeli	Place:gaza	attacks	{'Attacker': ['israeli'], 'Place': ['gaza'], 'Instrument': ['israeli gun ship']}	Conflict:Attack	1
56	train	ace	train	2275	112	Earlier this week, Saudi and U.S. officials said they had new intelligence pointing to Osama bin Laden's al-Qaida group possibly launching fresh attacks in the United States or against American interests overseas.	Earlier this week, Saudi and U.S. officials said they had new intelligence pointing to <s>Osama bin Laden's al-Qaida group</s> possibly launching fresh attacks in <t>the United States</t> or against American interests overseas.	Attacker:Osama bin Laden's al-Qaida group	Place:the United States	attacks	{'Attacker': ["Osama bin Laden's al-Qaida group"], 'Place': ['the United States']}	Conflict:Attack	1
57	train	ace	dev	3304	114	Eight-fifteen a.m. Iraq's information minister reads a message he says is from Saddam Hussein urging Iraqis to step up attacks against coalition forces.	Eight-fifteen a.m. Iraq's information minister reads a message he says is from Saddam Hussein urging <s>Iraqis</s> to step up attacks against <t>coalition forces</t>.	Attacker:Iraqis	Target:coalition forces	attacks	{'Attacker': ['Iraqis'], 'Target': ['coalition forces']}	Conflict:Attack	1
59	train	ace	dev	3552	54	We are warning Israel not to exploit this war against Iraq to carry out more attacks against the Palestinian people in the Gaza Strip and destroy the Palestinian Authority and the peace process, he said.	We are warning <s>Israel</s> not to exploit this war against Iraq to carry out more attacks against <t>the Palestinian people in the Gaza Strip</t> and destroy the Palestinian Authority and the peace process, he said.	Attacker:Israel	Target:the Palestinian people in the Gaza Strip	attacks	{'Attacker': ['Israel'], 'Place': ['the Gaza Strip'], 'Target': ['the Palestinian people in the Gaza Strip']}	Conflict:Attack	1
60	train	ace	dev	3552	54	We are warning Israel not to exploit this war against Iraq to carry out more attacks against the Palestinian people in the Gaza Strip and destroy the Palestinian Authority and the peace process, he said.	We are warning <s>Israel</s> not to exploit this war against Iraq to carry out more attacks against the Palestinian people in <t>the Gaza Strip</t> and destroy the Palestinian Authority and the peace process, he said.	Attacker:Israel	Place:the Gaza Strip	attacks	{'Attacker': ['Israel'], 'Place': ['the Gaza Strip'], 'Target': ['the Palestinian people in the Gaza Strip']}	Conflict:Attack	1
65	train	ace	train	169	175	Since marching into Iraq, coalition troops have engaged in some fierce battles with Saddam Hussein's forces.	Since marching into Iraq, <s>coalition troops</s> have engaged in some fierce battles with <t>Saddam Hussein's forces</t>.	Attacker:coalition troops	Attacker:Saddam Hussein's forces	battles	{'Attacker': ['coalition troops', "Saddam Hussein's forces"], 'Place': ['Iraq']}	Conflict:Attack	1
66	train	ace	train	169	175	Since marching into Iraq, coalition troops have engaged in some fierce battles with Saddam Hussein's forces.	Since marching into <t>Iraq</t>, <s>coalition troops</s> have engaged in some fierce battles with Saddam Hussein's forces.	Attacker:coalition troops	Place:Iraq	battles	{'Attacker': ['coalition troops', "Saddam Hussein's forces"], 'Place': ['Iraq']}	Conflict:Attack	1
69	train	ace	train	1870	58	``This tightens the noose against Saddam's forces battling coalition forces to the south,'' Brig.	``This tightens the noose against <t>Saddam's forces</t> battling <s>coalition forces to the south</s>,'' Brig.	Attacker:coalition forces to the south	Target:Saddam's forces	battling	{'Attacker': ["Saddam's forces battling coalition forces to the south", 'coalition forces to the south'], 'Place': ['the south']}	Conflict:Attack	1
70	train	ace	train	1981	233	U.S. forces tightened their grip throughout Baghdad, entering the city for the first time from the north, seizing a military airport and battling snipers and Republican Guard fighters.	<s>U.S. forces</s> tightened their grip throughout Baghdad, entering the city for the first time from the north, seizing a military airport and battling snipers and <t>Republican Guard fighters</t>.	Attacker:U.S. forces	Attacker:Republican Guard fighters	battling	{'Attacker': ['U.S. forces', 'snipers', 'Republican Guard fighters'], 'Place': ['the city']}	Conflict:Attack	1
71	train	ace	train	1981	233	U.S. forces tightened their grip throughout Baghdad, entering the city for the first time from the north, seizing a military airport and battling snipers and Republican Guard fighters.	<s>U.S. forces</s> tightened their grip throughout Baghdad, entering the city for the first time from the north, seizing a military airport and battling <t>snipers</t> and Republican Guard fighters.	Attacker:U.S. forces	Target:snipers	battling	{'Attacker': ['U.S. forces', 'snipers', 'Republican Guard fighters'], 'Place': ['the city']}	Conflict:Attack	1
73	train	ace	train	2248	131	In another development, Israeli forensics experts identified a body that washed up on a Tel Aviv beach last week as that of a Briton, Omar Khan Sharif, 27, the suspected accomplice of a British suicide bomber who blew himself up outside a Tel Aviv pub April 30.	In another development, Israeli forensics experts identified a body that washed up on a Tel Aviv beach last week as that of a Briton, Omar Khan Sharif, 27, the suspected accomplice of <s>a British suicide bomber</s> who blew himself up outside <t>a Tel Aviv pub</t> April 30.	Attacker:a British suicide bomber	Place:a Tel Aviv pub	blew	{'Place': ['a Tel Aviv pub']}	Conflict:Attack	1
75	train	ace	train	846	95	bombardment of baghdad continues tonight and over the past 20 minutes, explosions rocking baghdad, central baghdad southern baghdad, the outskirts of baghdad, and importantly, as the coalition forces, principally u.s. army forces, move against saddam hussein international airport -- which is about ten miles outside the center of baghdad -- those explosions are intensifies.	bombardment of <t>baghdad</t> continues tonight and over the past 20 minutes, explosions rocking <t>baghdad</t>, central <t>baghdad</t> southern <t>baghdad</t>, the outskirts of <t>baghdad</t>, and importantly, as the coalition forces, principally <s>u.s. army</s> forces, move against saddam hussein international airport -- which is about ten miles outside the center of <t>baghdad</t> -- those explosions are intensifies.	Attacker:u.s. army	Target:baghdad	bombardment	{'Attacker': ['the coalition forces', 'u.s. army', 'u.s. army forces'], 'Place': ['baghdad'], 'Target': ['central baghdad', 'southern baghdad', 'the outskirts of baghdad', 'saddam hussein international airport -- which is about ten miles outside the center of baghdad']}	Conflict:Attack	1
76	train	ace	train	846	95	bombardment of baghdad continues tonight and over the past 20 minutes, explosions rocking baghdad, central baghdad southern baghdad, the outskirts of baghdad, and importantly, as the coalition forces, principally u.s. army forces, move against saddam hussein international airport -- which is about ten miles outside the center of baghdad -- those explosions are intensifies.	bombardment of baghdad continues tonight and over the past 20 minutes, explosions rocking baghdad, central baghdad southern baghdad, the outskirts of baghdad, and importantly, as the coalition forces, principally <s>u.s. army</s> forces, move against <t>saddam hussein international airport</t> -- which is about ten miles outside the center of baghdad -- those explosions are intensifies.	Attacker:u.s. army	Target:saddam hussein international airport	bombardment	{'Attacker': ['the coalition forces', 'u.s. army', 'u.s. army forces'], 'Place': ['baghdad'], 'Target': ['central baghdad', 'southern baghdad', 'the outskirts of baghdad', 'saddam hussein international airport -- which is about ten miles outside the center of baghdad']}	Conflict:Attack	1
77	train	ace	train	846	95	bombardment of baghdad continues tonight and over the past 20 minutes, explosions rocking baghdad, central baghdad southern baghdad, the outskirts of baghdad, and importantly, as the coalition forces, principally u.s. army forces, move against saddam hussein international airport -- which is about ten miles outside the center of baghdad -- those explosions are intensifies.	bombardment of <t>baghdad</t> continues tonight and over the past 20 minutes, explosions rocking <t>baghdad</t>, central <t>baghdad</t> southern <t>baghdad</t>, the outskirts of <t>baghdad</t>, and importantly, as <s>the coalition forces</s>, principally u.s. army forces, move against saddam hussein international airport -- which is about ten miles outside the center of <t>baghdad</t> -- those explosions are intensifies.	Attacker:the coalition forces	Target:baghdad	bombardment	{'Attacker': ['the coalition forces', 'u.s. army', 'u.s. army forces'], 'Place': ['baghdad'], 'Target': ['central baghdad', 'southern baghdad', 'the outskirts of baghdad', 'saddam hussein international airport -- which is about ten miles outside the center of baghdad']}	Conflict:Attack	1
78	train	ace	train	846	95	bombardment of baghdad continues tonight and over the past 20 minutes, explosions rocking baghdad, central baghdad southern baghdad, the outskirts of baghdad, and importantly, as the coalition forces, principally u.s. army forces, move against saddam hussein international airport -- which is about ten miles outside the center of baghdad -- those explosions are intensifies.	bombardment of baghdad continues tonight and over the past 20 minutes, explosions rocking baghdad, central baghdad southern baghdad, the outskirts of baghdad, and importantly, as <s>the coalition forces</s>, principally u.s. army forces, move against <t>saddam hussein international airport</t> -- which is about ten miles outside the center of baghdad -- those explosions are intensifies.	Attacker:the coalition forces	Target:saddam hussein international airport	bombardment	{'Attacker': ['the coalition forces', 'u.s. army', 'u.s. army forces'], 'Place': ['baghdad'], 'Target': ['central baghdad', 'southern baghdad', 'the outskirts of baghdad', 'saddam hussein international airport -- which is about ten miles outside the center of baghdad']}	Conflict:Attack	1
79	train	ace	test	3852	111	Earlier Saturday, Baghdad was again targeted, one day after a massive U.S. aerial bombardment in which more than 300 Tomahawk cruise missiles rained down on the capital.	Earlier Saturday, Baghdad was again targeted, one day after a massive <s>U.S</s>. aerial bombardment in which more than 300 Tomahawk cruise missiles rained down on <t>the capital</t>.	Attacker:U.S	Place:the capital	bombardment	{'Attacker': ['U.S'], 'Place': ['the capital'], 'Instrument': ['more than 300 Tomahawk cruise missiles']}	Conflict:Attack	1
85	train	ace	train	948	211	there is strong speculation that saddam hussein may be his two sons were inside of that building when it was hit by coalition bombs, or may have left prior to the bombing taking place.	there is strong speculation that saddam hussein may be his two sons were inside of <t>that building</t> when it was hit by <s>coalition</s> bombs, or may have left prior to the bombing taking place.	Attacker:coalition	Target:that building	bombing	{'Attacker': ['coalition'], 'Target': ['that building'], 'Instrument': ['coalition bombs']}	Conflict:Attack	1
86	train	ace	train	1142	201	the oklahoma city bombing conspirator is already serving a life term in federal prison.	<s>the <t>oklahoma city</t> bombing conspirator</s> is already serving a life term in federal prison.	Attacker:the oklahoma city bombing conspirator	Place:oklahoma city	bombing	{'Attacker': ['the oklahoma city bombing conspirator'], 'Place': ['oklahoma city']}	Conflict:Attack	1
90	train	ace	train	2415	164	Police believed Ba'asyir was the spiritual leader of Jemaah Islamiyah, the terrorist network in Southeast Asia which is widely blamed for the Bali bombing.	Police believed Ba'asyir was the spiritual leader of Jemaah Islamiyah, <s>the terrorist network in Southeast Asia which is widely blamed for the <t>Bali</t> bombing</s>.	Attacker:the terrorist network in Southeast Asia which is widely blamed for the Bali bombing	Place:Bali	bombing	{'Attacker': ['the terrorist network in Southeast Asia which is widely blamed for the Bali bombing'], 'Place': ['Bali']}	Conflict:Attack	1
92	train	ace	train	2269	167	Radical leftist, Kurdish and Islamic groups are active in the country and have carried out bombings in the past.	<s>Radical leftist, Kurdish and Islamic groups</s> are active in <t>the country</t> and have carried out bombings in the past.	Attacker:Radical leftist, Kurdish and Islamic groups	Place:the country	bombings	{'Attacker': ['Radical leftist, Kurdish and Islamic groups'], 'Place': ['the country']}	Conflict:Attack	1
96	train	ace	dev	3401	218	These are the same terrorists blowing up families, chopping off heads of civilians, and the complete disregard for any human life and they just disagree with us?	These are <s>the same terrorists</s> blowing up <t>families</t>, chopping off heads of civilians, and the complete disregard for any human life and they just disagree with us?	Attacker:the same terrorists	Target:families	chopping off	{'Attacker': ['the same terrorists blowing up families, chopping off heads of civilians, and the complete disregard for any human life'], 'Target': ['families']}	Conflict:Attack	1
101	train	ace	dev	3558	137	In the Egyptian capital, 10 demonstrators and at least four policeman were injured in clashes after several thousand demonstrators took to the streets near the US and British embassies.	In the Egyptian capital, <s>10 demonstrators</s> and at least four policeman were injured in clashes after several thousand demonstrators took to <t>the streets near the US and British embassies</t>.	Attacker:10 demonstrators	Place:the streets near the US and British embassies	clashes	{'Attacker': ['10 demonstrators', 'at least four policeman'], 'Place': ['the streets near the US and British embassies']}	Conflict:Attack	1
102	train	ace	dev	3558	137	In the Egyptian capital, 10 demonstrators and at least four policeman were injured in clashes after several thousand demonstrators took to the streets near the US and British embassies.	In the Egyptian capital, 10 demonstrators and <s>at least four policeman</s> were injured in clashes after several thousand demonstrators took to <t>the streets near the US and British embassies</t>.	Attacker:at least four policeman	Place:the streets near the US and British embassies	clashes	{'Attacker': ['10 demonstrators', 'at least four policeman'], 'Place': ['the streets near the US and British embassies']}	Conflict:Attack	1
108	train	ace	train	364	248	Well, when they do finally enter Baghdad, U.S. and coalition troops could face urban combat with the Republican Guard, some of whom may have withdrawn into the city.	Well, when they do finally enter <t>Baghdad</t>, U.S. and coalition troops could face urban combat with <s>the Republican Guard</s>, some of whom may have withdrawn into the city.	Attacker:the Republican Guard	Place:Baghdad	combat	{'Attacker': ['U.S. and coalition troops', 'the Republican Guard'], 'Place': ['Baghdad']}	Conflict:Attack	0
109	train	ace	train	364	248	Well, when they do finally enter Baghdad, U.S. and coalition troops could face urban combat with the Republican Guard, some of whom may have withdrawn into the city.	Well, when they do finally enter <t>Baghdad</t>, <s>U.S. and coalition troops</s> could face urban combat with the Republican Guard, some of whom may have withdrawn into the city.	Attacker:U.S. and coalition troops	Place:Baghdad	combat	{'Attacker': ['U.S. and coalition troops', 'the Republican Guard'], 'Place': ['Baghdad']}	Conflict:Attack	1
115	train	ace	test	3866	91	Australian commandos, who have been operating deep in Iraq, destroyed a command and control post and killed a number of soldiers, according to the country's defense chief, Gen. Peter Cosgrove.	<s>Australian commandos</s>, who have been operating deep in Iraq, destroyed <t>a command and control post</t> and killed a number of soldiers, according to the country's defense chief, Gen. Peter Cosgrove.	Attacker:Australian commandos	Target:a command and control post	destroyed	{'Attacker': ['Australian commandos'], 'Place': ['Iraq'], 'Target': ['a command and control post']}	Conflict:Attack	1
116	train	ace	test	3866	91	Australian commandos, who have been operating deep in Iraq, destroyed a command and control post and killed a number of soldiers, according to the country's defense chief, Gen. Peter Cosgrove.	<s>Australian commandos</s>, who have been operating deep in <t>Iraq</t>, destroyed a command and control post and killed a number of soldiers, according to the country's defense chief, Gen. Peter Cosgrove.	Attacker:Australian commandos	Place:Iraq	destroyed	{'Attacker': ['Australian commandos'], 'Place': ['Iraq'], 'Target': ['a command and control post']}	Conflict:Attack	1
124	train	ace	train	2231	110	Earlier Monday, a 19-year-old Palestinian riding a bicycle detonated a 30-kilo (66-pound) bomb near a military jeep in the Gaza Strip, injuring three soldiers.	Earlier Monday, <s>a 19-year-old Palestinian riding a bicycle</s> detonated a 30-kilo (66-pound) bomb near a military jeep in the Gaza Strip, injuring <t>three soldiers</t>.	Attacker:a 19-year-old Palestinian riding a bicycle	Target:three soldiers	detonated	{'Attacker': ['a 19-year-old Palestinian riding a bicycle'], 'Place': ['the Gaza Strip'], 'Target': ['a military jeep in the Gaza Strip', 'three soldiers'], 'Instrument': ['a 30-kilo (66-pound) bomb']}	Conflict:Attack	1
125	train	ace	train	2231	110	Earlier Monday, a 19-year-old Palestinian riding a bicycle detonated a 30-kilo (66-pound) bomb near a military jeep in the Gaza Strip, injuring three soldiers.	Earlier Monday, <s>a 19-year-old Palestinian riding a bicycle</s> detonated a 30-kilo (66-pound) bomb near a military jeep in <t>the Gaza Strip</t>, injuring three soldiers.	Attacker:a 19-year-old Palestinian riding a bicycle	Place:the Gaza Strip	detonated	{'Attacker': ['a 19-year-old Palestinian riding a bicycle'], 'Place': ['the Gaza Strip'], 'Target': ['a military jeep in the Gaza Strip', 'three soldiers'], 'Instrument': ['a 30-kilo (66-pound) bomb']}	Conflict:Attack	1
126	train	ace	train	2231	110	Earlier Monday, a 19-year-old Palestinian riding a bicycle detonated a 30-kilo (66-pound) bomb near a military jeep in the Gaza Strip, injuring three soldiers.	Earlier Monday, <s>a 19-year-old Palestinian riding a bicycle</s> detonated a 30-kilo (66-pound) bomb near <t>a military jeep in the Gaza Strip</t>, injuring three soldiers.	Attacker:a 19-year-old Palestinian riding a bicycle	Target:a military jeep in the Gaza Strip	detonated	{'Attacker': ['a 19-year-old Palestinian riding a bicycle'], 'Place': ['the Gaza Strip'], 'Target': ['a military jeep in the Gaza Strip', 'three soldiers'], 'Instrument': ['a 30-kilo (66-pound) bomb']}	Conflict:Attack	1
128	train	ace	train	875	221	they're going to be defended fanatically but intelligence is so crucial from aerial platforms and special ops personnel to give the three assets the intel which they need to close with and eliminate final remnants of the regime in those citys.	they're going to be defended fanatically but intelligence is so crucial from aerial platforms and special ops personnel to give <s>the three assets</s> the intel which they need to close with and eliminate <t>final remnants of the regime in those citys</t>.	Attacker:the three assets	Target:final remnants of the regime in those citys	eliminate	{'Attacker': ['the three assets'], 'Place': ['those citys'], 'Target': ['final remnants of the regime in those citys']}	Conflict:Attack	1
133	train	ace	train	125	245	We know that some of the American troops now fighting in Iraq are longtime veterans of warfare, probably not most, but some.	We know that some of <s>the American troops</s> now fighting in <t>Iraq</t> are longtime veterans of warfare, probably not most, but some.	Attacker:the American troops	Place:Iraq	fighting	{'Attacker': ['the American troops now fighting in Iraq'], 'Place': ['Iraq']}	Conflict:Attack	1
136	train	ace	train	1802	242	War in Iraq The US is currently engaged in major fighting in Fallujah, Iraq.	War in Iraq <s>The US</s> is currently engaged in major fighting in <t>Fallujah, Iraq</t>.	Attacker:The US	Place:Fallujah, Iraq	fighting	{'Attacker': ['The US'], 'Place': ['Fallujah, Iraq']}	Conflict:Attack	1
137	train	ace	train	2801	83	Anyone remember Khomeini's declaration in 1982 that Iran wouldn't stop fighting until they overthrew Saddam?	Anyone remember Khomeini's declaration in 1982 that <s><t>Iran</t></s> wouldn't stop fighting until they overthrew Saddam?	Attacker:Iran	Place:Iran	fighting	{'Attacker': ['Iran'], 'Place': ['Iran']}	Conflict:Attack	1
