	sentence_id	sentence	marked_sentence	source	target	gold_penta	silver_penta	silver_root	gold_root	penta_L1	root_L1	penta_L2	root_L2	prompt_L2	prompt_L1	modality_L2
	102	JERUSALEM (AP) -- A Saudi dissident has filed a lawsuit against an Israeli surveillance company, claiming its sophisticated spyware targeted him and helped lead to the killing of his friend, Saudi journalist Jamal Khashoggi.	JERUSALEM (AP) -- <s>A Saudi dissident</s> has filed a lawsuit against an <t>Israeli surveillance company</t>, claiming its sophisticated spyware targeted him and helped lead to the killing of his friend, Saudi journalist Jamal Khashoggi.	A Saudi dissident	Israeli surveillance company	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> brought lawsuit against <T>', '<S> accused <T> of something', '<S> expressed complaints of <T>', '<S> reduced protest against <T>', '<S> investigated something of <T>']	['<S> brought lawsuit against <T>', '<S> accused <T> of something', '<S> expressed complaints of <T>', '<S> reduced protest against <T>', '<S> investigated something of <T>']	past
	134	MOSCOW -- A Russian court has charged one of the Kremlin's most vocal foreign critics, British financier and human rights activist William Browder, with creating an international criminal syndicate.	MOSCOW -- <s>A Russian court</s> has charged one of <t>the Kremlin's most vocal foreign critics, British financier and human rights activist William Browder</t>, with creating an international criminal syndicate.	A Russian court	the Kremlin's most vocal foreign critics, British financier and human rights activist William Browder	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> accused <T> of something', '<S> investigated something of <T>', '<S> brought lawsuit against <T>', '<S> threatened something against <T>']	['<S> accused <T> of something', '<S> investigated something of <T>', '<S> brought lawsuit against <T>', '<S> threatened something against <T>']	past
	135	Canadian Prime Minister Jean Chretien said Monday that Iraqi President Saddam Hussein could not be allowed to flout United Nations inspections of Iraq's chemical and biological weapons program.	<s>Canadian Prime Minister Jean Chretien</s> said Monday that <t>Iraqi President Saddam Hussein</t> could not be allowed to flout United Nations inspections of Iraq's chemical and biological weapons program.	Canadian Prime Minister Jean Chretien	Iraqi President Saddam Hussein	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> expressed complaints of <T>', '<S> accused <T> of something', '<S> investigated something of <T>', '<S> threatened something against <T>', '<S> demanded something from <T>']	['<S> expressed complaints of <T>', '<S> accused <T> of something', '<S> investigated something of <T>', '<S> threatened something against <T>', '<S> demanded something from <T>']	past
	139	US wildlife authorities have launched an investigation after a manatee was discovered with the word 'Trump' scraped on its back.	<s>US wildlife authorities</s> have launched an investigation after a manatee was discovered with the word 'Trump' scraped on its back.	US wildlife authorities	a recipient	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> investigated something of <T>']	['<S> investigated something of <T>']	past
	144	Today, Iran's government faces widespread international criticism from the U.N. and others over its detention of activists and those with ties to the West.	Today, <t>Iran's government</t> faces widespread international criticism from the <s>U.N.</s> and others over its detention of activists and those with ties to the West.	U.N.	Iran's government	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> expressed complaints of <T>', '<S> accused <T> of something', '<S> investigated something of <T>']	['<S> expressed complaints of <T>', '<S> accused <T> of something', '<S> investigated something of <T>']	past
	153	Pakistan summoned a senior Indian diplomat to its Foreign Ministry on Thursday to complain about what Islamabad says was indiscriminate and unprovoked firing by India in the disputed Himalayan region of Kashmir.	<s>Pakistan</s> summoned a <t>senior Indian diplomat</t> to its Foreign Ministry on Thursday to complain about what Islamabad says was indiscriminate and unprovoked firing by India in the disputed Himalayan region of Kashmir.	Pakistan	senior Indian diplomat	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> expressed complaints of <T>', '<S> demanded something from <T>', '<S> met with <T>', '<S> accused <T> of something', '<S> held a talk with <T>']	['<S> expressed complaints of <T>', '<S> demanded something from <T>', '<S> met with <T>', '<S> accused <T> of something', '<S> held a talk with <T>']	past
	166	After an emergency foreign ministers' meeting in the Red Sea city of Jeddah, the OIC expressed its total rejection and strong condemnation of the Israeli Prime Minister's declaration.	After an emergency foreign ministers' meeting in the Red Sea city of Jeddah, the <s>OIC</s> expressed its total rejection and strong condemnation of the <t>Israeli Prime Minister</t>'s declaration.	OIC	Israeli Prime Minister	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> expressed complaints of <T>', '<S> rejected proposals of <T>']	['<S> expressed complaints of <T>', '<S> rejected proposals of <T>']	past
	183	The Nigerian Senate, yesterday, began an investigation into the $3.5 billion spent under the Subsidy Recovery Fund of the Nigerian National Petroleum Corporation (NNPC).	<s>The Nigerian Senate</s>, yesterday, began an investigation into <t>the $3.5 billion spent under the Subsidy Recovery Fund of the Nigerian National Petroleum Corporation (NNPC)</t>.	The Nigerian Senate	the $3.5 billion spent under the Subsidy Recovery Fund of the Nigerian National Petroleum Corporation (NNPC)	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> investigated something of <T>', '<S> met with <T>']	['<S> investigated something of <T>', '<S> met with <T>']	todo
	204	A spokesman for President Ashraf Ghani on Wednesday disputed the results and methodology of the U.N. report, saying the government is committed to protecting civilians.	<s>A spokesman for President Ashraf Ghani</s> on Wednesday disputed <t>the results and methodology of the U.N. report</t>, saying the government is committed to protecting civilians.	A spokesman for President Ashraf Ghani	the results and methodology of the U.N. report	3	3	ACCUSE	ACCUSE	3	REJECT	3	REJECT	['<S> rejected to yield to <T>', '<S> expressed complaints of <T>', '<S> accused <T> of something', '<S> rejected proposals of <T>', '<S> investigated something of <T>']	['<S> rejected to yield to <T>', '<S> expressed complaints of <T>', '<S> accused <T> of something', '<S> rejected proposals of <T>', '<S> investigated something of <T>']	past
	205	France on Tuesday summoned the Chinese ambassador to complain of unacceptable behaviour after he posted a series of tweets targeting French lawmakers and a researcher.	<s>France</s> on Tuesday summoned <t>the Chinese ambassador</t> to complain of unacceptable behaviour after he posted a series of tweets targeting French lawmakers and a researcher.	France	the Chinese ambassador	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> expressed complaints of <T>', '<S> demanded something from <T>', '<S> accused <T> of something', '<S> investigated something of <T>']	['<S> expressed complaints of <T>', '<S> demanded something from <T>', '<S> accused <T> of something', '<S> investigated something of <T>']	past
	206	Mr Erdogan's critics say he has used the failed uprising as an excuse to stifle political opposition and a free press.	<s>Mr Erdogan's critics</s> say <t>he</t> has used the failed uprising as an excuse to stifle political opposition and a free press.	Mr Erdogan's critics	he	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> accused <T> of something', '<S> expressed complaints of <T>']	['<S> accused <T> of something', '<S> expressed complaints of <T>']	past
	212	Previously, the FBI had opened an investigation of Flynn based on his relationship with the Russian government.	Previously, <s>the FBI</s> had opened an investigation of <t>Flynn</t> based on his relationship with the Russian government.	the FBI	Flynn	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> investigated something of <T>', '<S> accused <T> of something']	['<S> investigated something of <T>', '<S> accused <T> of something']	past
	227	KABUL (Pajhwok) : The Organization of Islamic Cooperation (OIC) , UN, NATO and Iran on Wednesday strongly condemned the shooting and suicide attack on a government building in Kabul, causing the loss of more than 43 precious lives and injures to many others.	KABUL (Pajhwok) : <s>The Organization of Islamic Cooperation (OIC) , UN, NATO and Iran</s> on Wednesday strongly condemned <t>the shooting and suicide attack on a government building in Kabul</t>, causing the loss of more than 43 precious lives and injures to many others.	The Organization of Islamic Cooperation (OIC) , UN, NATO and Iran	the shooting and suicide attack on a government building in Kabul	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> expressed complaints of <T>']	['<S> expressed complaints of <T>']	past
	233	The UN Support Mission in Libya (UNSMIL) , on Sunday strongly condemned the bombing of a military academy in the capital Tripoli, which according to news reports left at least 30 dead and more than 30 others wounded.	<s>The UN Support Mission in Libya (UNSMIL) </s>, on Sunday strongly condemned <t>the bombing of a military academy in the capital Tripoli</t>, which according to news reports left at least 30 dead and more than 30 others wounded.	The UN Support Mission in Libya (UNSMIL)	the bombing of a military academy in the capital Tripoli	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> expressed complaints of <T>']	['<S> expressed complaints of <T>']	past
	236	German prosecutors have launched an investigation into the business dealings of luxury hospitality group Kempinski.	<s>German prosecutors</s> have launched an investigation into <t>the business dealings of luxury hospitality group Kempinski</t>.	German prosecutors	the business dealings of luxury hospitality group Kempinski	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> investigated something of <T>']	['<S> investigated something of <T>']	past
	238	The FBI has reportedly joined a criminal investigation of the certification process for the jets.	<s>The FBI</s> has reportedly joined a criminal investigation of the certification process for <t>the jets</t>.	The FBI	the jets	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> investigated something of <T>', '<S> agreed to do something for <T>']	['<S> investigated something of <T>', '<S> agreed to do something for <T>']	past
	247	Majority Forward, a political group aligned with Democratic Senate Minority Leader Chuck Schumer, has led the attacks on Blackburn, the DEA law and her pharmaceutical industry campaign contributions.	<s>Majority Forward, a political group aligned with Democratic Senate Minority Leader Chuck Schumer</s>, has led the attacks on <t>Blackburn, the DEA law and her pharmaceutical industry campaign contributions</t>.	Majority Forward, a political group aligned with Democratic Senate Minority Leader Chuck Schumer	Blackburn, the DEA law and her pharmaceutical industry campaign contributions	3	3	ACCUSE	ACCUSE	3	ACCUSE	4	ASSAULT	['<S> assaulted person of <T>', '<S> prepared forces against <T>', '<S> threatened something against <T>']	['<S> expressed complaints of <T>', '<S> assaulted person of <T>', '<S> prepared forces against <T>', '<S> accused <T> of something', '<S> threatened something against <T>']	past
	254	The Palestinian leader Yasir Arafat was criticized by Bush administration officials as damaging American diplomatic efforts and slowing the process of Palestinian reform.	<t>The Palestinian leader Yasir Arafat</t> was criticized by <s>Bush administration officials</s> as damaging American diplomatic efforts and slowing the process of Palestinian reform.	Bush administration officials	The Palestinian leader Yasir Arafat	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> expressed complaints of <T>', '<S> accused <T> of something']	['<S> expressed complaints of <T>', '<S> accused <T> of something']	past
	269	Former prime minister Paul Keating has launched an extraordinary attack on Australia's spy chiefs, calling them "nutters" and urging Bill Shorten to sack them to improve relations with China if he wins the election.	<s>Former prime minister Paul Keating</s> has launched an extraordinary attack on <t>Australia's spy chiefs</t>, calling them "nutters" and urging Bill Shorten to sack them to improve relations with China if he wins the election.	Former prime minister Paul Keating	Australia's spy chiefs	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	THREATEN	['<S> threatened something against <T>', '<S> launched protests against <T>']	['<S> expressed complaints of <T>', '<S> threatened something against <T>', '<S> accused <T> of something', '<S> launched protests against <T>']	past
	279	Germany on Tuesday summoned the Chinese ambassador in Berlin to complain about the move, saying sanctions against EU lawmakers, scientists, political institutions and non-governmental organizations represented an unreasonable escalation that will unnecessarily strain relations between the EU and China.	<s>Germany</s> on Tuesday summoned <t>the Chinese ambassador</t> in Berlin to complain about the move, saying sanctions against EU lawmakers, scientists, political institutions and non-governmental organizations represented an unreasonable escalation that will unnecessarily strain relations between the EU and China.	Germany	the Chinese ambassador	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> expressed complaints of <T>', '<S> demanded something from <T>', '<S> met with <T>', '<S> held a talk with <T>']	['<S> expressed complaints of <T>', '<S> demanded something from <T>', '<S> met with <T>', '<S> held a talk with <T>']	past
	284	JERUSALEM (AP) -- The Israeli military says it has opened an investigation into the death of a 22-year-old Palestinian man after a video surfaced appearing to show him being shot in the back.	JERUSALEM (AP) -- <s>The Israeli military</s> says it has opened an investigation into <t>the death of a 22-year-old Palestinian man</t> after a video surfaced appearing to show him being shot in the back.	The Israeli military	the death of a 22-year-old Palestinian man	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> investigated something of <T>', '<S> met with <T>', '<S> agreed to do something for <T>']	['<S> investigated something of <T>', '<S> met with <T>', '<S> agreed to do something for <T>']	past
	289	The Department of Transportation has also launched a probe of the Federal Aviation Administration's approval of the aircraft.	<s>The Department of Transportation</s> has also launched a probe of <t>the Federal Aviation Administration's approval of the aircraft</t>.	The Department of Transportation	the Federal Aviation Administration's approval of the aircraft	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> investigated something of <T>']	['<S> investigated something of <T>']	past
	292	But back in Israel, former prime minister Shimon Peres blamed Netanyahu's hardline policies for the upsurge in tensions with Syria.	But back in Israel, <s>former prime minister Shimon Peres</s> blamed <t>Netanyahu's hardline policies</t> for the upsurge in tensions with Syria.	former prime minister Shimon Peres	Netanyahu's hardline policies	3	3	ACCUSE	ACCUSE	3	ACCUSE	4	COERCE	['<S> seized territory of <T>']	['<S> accused <T> of something', '<S> expressed complaints of <T>', '<S> seized territory of <T>']	past
	296	Federal Police have launched an investigation into Australian VC recipient Ben Roberts-Smith over allegations of war crimes.	<s>Federal Police</s> have launched an investigation into <t>Australian VC recipient Ben Roberts-Smith</t> over allegations of war crimes.	Federal Police	Australian VC recipient Ben Roberts-Smith	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> accused <T> of something', '<S> investigated something of <T>']	['<S> accused <T> of something', '<S> investigated something of <T>']	past
	301	Washington - US President Donald Trump on Tuesday called Britain's ambassador to the United States a very stupid guy as he again reacted to leaked cables critical of the Trump administration.	Washington - <s>US President Donald Trump</s> on Tuesday called <t>Britain's ambassador</t> to the United States a very stupid guy as he again reacted to leaked cables critical of the Trump administration.	US President Donald Trump	Britain's ambassador	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> expressed complaints of <T>', '<S> accused <T> of something']	['<S> expressed complaints of <T>', '<S> accused <T> of something']	past
	317	The court convicted Germany's largest bank to pay about half a million Euros in damages for the breach of advisory duties.	<s>The court</s> convicted <t>Germany's largest bank</t> to pay about half a million Euros in damages for the breach of advisory duties.	The court	Germany's largest bank	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> accused <T> of something', '<S> demanded something from <T>', '<S> investigated something of <T>']	['<S> accused <T> of something', '<S> demanded something from <T>', '<S> investigated something of <T>']	past
	322	Brazil's federal police filed new charges against President Michel Temer on Tuesday, recommending he be put on trial for corruption, money laundering and criminal association for allegedly taking bribes to favour port management companies.	<s>Brazil's federal police</s> filed new charges against <t>President Michel Temer</t> on Tuesday, recommending he be put on trial for corruption, money laundering and criminal association for allegedly taking bribes to favour port management companies.	Brazil's federal police	President Michel Temer	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> accused <T> of something', '<S> investigated something of <T>']	['<S> accused <T> of something', '<S> investigated something of <T>']	past
	329	German police have launched an investigation into former Germany defender Christoph Metzelder over the distribution of child pornography images, German newspaper Bild reported on Wednesday.	<s>German police</s> have launched an investigation into <t>former Germany defender Christoph Metzelder</t> over the distribution of child pornography images, German newspaper Bild reported on Wednesday.	German police	former Germany defender Christoph Metzelder	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> investigated something of <T>', '<S> accused <T> of something']	['<S> investigated something of <T>', '<S> accused <T> of something']	todo
	344	A court in Lyon found Barbarin guilty of failing to report allegations that a priest, Bernard Preynat, had abused boy scouts in the Lyon area in the 1980s and 1990s.	<s>A court in Lyon</s> found <t>Barbarin</t> guilty of failing to report allegations that a priest, Bernard Preynat, had abused boy scouts in the Lyon area in the 1980s and 1990s.	A court in Lyon	Barbarin	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> accused <T> of something', '<S> investigated something of <T>']	['<S> accused <T> of something', '<S> investigated something of <T>']	past
	345	On Friday, Jotyar Adil, the KRG's ofcial spokesperson, in a statement condemned the killing of civilians during the Turkish military operations, and called on Turkey to respect "the sovereignty of our lands and homeland".	On Friday, <s>Jotyar Adil, the KRG's ofcial spokesperson</s>, in a statement condemned <t>the killing of civilians during the Turkish military operations</t>, and called on Turkey to respect "the sovereignty of our lands and homeland".	Jotyar Adil, the KRG's ofcial spokesperson	the killing of civilians during the Turkish military operations	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> expressed complaints of <T>', '<S> reduced protest against <T>', '<S> met with <T>']	['<S> expressed complaints of <T>', '<S> reduced protest against <T>', '<S> met with <T>']	past
	347	A U.S. government watchdog agency has launched an investigation in the wake of an Associated Press report revealing complaints about how immigration authorities treated hunger strikers at a detention center in Texas.	<s>A U.S. government watchdog agency</s> has launched an investigation in the wake of an Associated Press report revealing complaints about how immigration authorities treated hunger strikers at <t>a detention center in Texas</t>.	A U.S. government watchdog agency	a detention center in Texas	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> investigated something of <T>', '<S> expressed complaints of <T>', '<S> accused <T> of something']	['<S> investigated something of <T>', '<S> expressed complaints of <T>', '<S> accused <T> of something']	todo
	367	The Department of Education will investigate Yale, along with other institutions of higher education across the country, for allegedly failing to report billions of dollars in foreign funding.	<s>The Department of Education</s> will investigate <t>Yale</t>, along with other institutions of higher education across the country, for allegedly failing to report billions of dollars in foreign funding.	The Department of Education	Yale	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> investigated something of <T>', '<S> accused <T> of something', '<S> expressed complaints of <T>']	['<S> accused <T> of something', '<S> investigated something of <T>', '<S> expressed complaints of <T>']	todo
	368	THE HAGUE, Netherlands -- A United Nations prosecutor has charged a former Rwandan planning minister with contempt of court for allegedly bribing witnesses to recant testimony in an attempt to overturn his genocide convictions.	THE HAGUE, Netherlands -- <s>A United Nations prosecutor</s> has charged <t>a former Rwandan planning minister</t> with contempt of court for allegedly bribing witnesses to recant testimony in an attempt to overturn his genocide convictions.	A United Nations prosecutor	a former Rwandan planning minister	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> accused <T> of something', '<S> investigated something of <T>', '<S> brought lawsuit against <T>', '<S> expressed complaints of <T>']	['<S> accused <T> of something', '<S> investigated something of <T>', '<S> brought lawsuit against <T>', '<S> expressed complaints of <T>']	past
	375	The South African Government strongly refuted United States President Donald Trump's comments on farm seizures and expropriations and the large-scale killing of farmers in the country.	<s>The South African Government</s> strongly refuted <t>United States President Donald Trump</t>'s comments on farm seizures and expropriations and the large-scale killing of farmers in the country.	The South African Government	United States President Donald Trump	3	3	ACCUSE	ACCUSE	3	REJECT	3	REJECT	['<S> rejected proposals of <T>', '<S> accused <T> of something', '<S> expressed complaints of <T>', '<S> rejected to yield to <T>', '<S> investigated something of <T>']	['<S> rejected proposals of <T>', '<S> accused <T> of something', '<S> expressed complaints of <T>', '<S> rejected to yield to <T>', '<S> investigated something of <T>']	past
	387	Anti-war groups called on low-wage workers and community activists to mobilize against U.S. war moves in Ukrain.	<s>Anti-war groups</s> called on low-wage workers and community activists to mobilize against <t>U.S. war moves</t> in Ukrain.	Anti-war groups	U.S. war moves	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	THREATEN	['<S> threatened something against <T>', '<S> launched protests in <T>']	['<S> expressed complaints of <T>', '<S> threatened something against <T>', '<S> launched protests in <T>']	past
	388	The Obama administration has sent teams of CIA operatives into Libya in a rush to investigate the rebel forces opposed to Libyan leader Muammar Gaddafi, according to US officials.	<s>The Obama administration</s> has sent teams of CIA operatives into <t>Libya</t> in a rush to investigate the rebel forces opposed to Libyan leader Muammar Gaddafi, according to US officials.	The Obama administration	Libya	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> sent people to investigate <T>', '<S> investigated something of <T>', '<S> prepared forces against <T>']	['<S> sent people to investigate <T>', '<S> investigated something of <T>', '<S> prepared forces against <T>']	past
	417	The European Parliament delegation visiting earlier in the week offered scathing criticism of the Maltese government's handling of the situation and declared that trust had been severely damaged.	<s>The European Parliament delegation</s> visiting earlier in the week offered scathing criticism of <t>the Maltese government's handling of the situation</t> and declared that trust had been severely damaged.	The European Parliament delegation	the Maltese government's handling of the situation	3	3	ACCUSE	ACCUSE	3	ACCUSE	4	PROTEST	['<S> launched protests in <T>']	['<S> expressed complaints of <T>', '<S> launched protests in <T>', '<S> investigated something of <T>']	past
	428	A Turkish prosecutor is seeking jail sentences for all three on charges of membership of an armed terrorist organization, according to the indictment, which was completed on March 8 but has not been made public.	<s>A Turkish prosecutor</s> is seeking jail sentences for <t>all three on charges of membership of an armed terrorist organization</t>, according to the indictment, which was completed on March 8 but has not been made public.	A Turkish prosecutor	all three on charges of membership of an armed terrorist organization	3	3	ACCUSE	ACCUSE	3	REQUEST	3	REQUEST	['<S> demanded something from <T>', '<S> threatened something against <T>', '<S> investigated something of <T>', '<S> expressed complaints of <T>', '<S> prepared forces against <T>']	['<S> demanded something from <T>', '<S> threatened something against <T>', '<S> investigated something of <T>', '<S> expressed complaints of <T>', '<S> prepared forces against <T>']	past
	451	The French government accuses Russia of having brought its intelligence-gathering satellite Olymp-K, also known as Louch, into close proximity of the French-Italian military satellite Athena-Fidus in 2017.	<s>The French government</s> accuses <t>Russia</t> of having brought its intelligence-gathering satellite Olymp-K, also known as Louch, into close proximity of the French-Italian military satellite Athena-Fidus in 2017.	The French government	Russia	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> accused <T> of something', '<S> expressed complaints of <T>', '<S> investigated something of <T>']	['<S> accused <T> of something', '<S> expressed complaints of <T>', '<S> investigated something of <T>']	past
	456	LA PAZ, Bolivia -- Bolivia's government said Wednesday that the Organization of American States is sending a 30-person team to launch a binding audit of a presidential election that the opposition says was rigged to ensure the re-election of leftist President Evo Morales.	LA PAZ, Bolivia -- Bolivia's government said Wednesday that <s>the Organization of American States</s> is sending a 30-person team to launch a binding audit of <t>a presidential election</t> that the opposition says was rigged to ensure the re-election of leftist President Evo Morales.	the Organization of American States	a presidential election	3	3	ACCUSE	ACCUSE	3	ACCUSE	3	ACCUSE	['<S> sent people to investigate <T>', '<S> investigated something of <T>', '<S> agreed to do something for <T>', '<S> accused <T> of something', '<S> promised to do something for <T>']	['<S> sent people to investigate <T>', '<S> investigated something of <T>', '<S> agreed to do something for <T>', '<S> accused <T> of something', '<S> promised to do something for <T>']	todo
