rootcode	pentacode	past
ASSAULT	4	<S> use unconventional violence towards <T>
ASSAULT	4	<S> abducted <T>
ASSAULT	4	<S> physically assaulted <T>
ASSAULT	4	<S> sexually assaulted <T>
ASSAULT	4	<S> tortured <T>
ASSAULT	4	<S> killed <T> by physical assault
ASSAULT	4	<S> conducted bombing against <T>
ASSAULT	4	<S> used <T> as human shields
ASSAULT	4	<S> assassinated <T>
ASSAULT	4	<S> fought with <T>
ASSAULT	4	<S> used conventional military force to <T>
ASSAULT	4	<S> imposed blockades, restricted movement to <T>
ASSAULT	4	<S> occupy the territory of <T>
ASSAULT	4	<S> attacked <T> using guns and bombs
ASSAULT	4	<S> attacked <T> with artillery and tanks
ASSAULT	4	<S> attacked <T> with air strikes
ASSAULT	4	<S> attacked <T> with weapons
ASSAULT	4	<S> violated ceasefire with <T>
ASSAULT	4	<S> used unconventional mass violence to <T>
ASSAULT	4	<S> engaged in mass expulsion to <T>
ASSAULT	4	<S> engaged in mass killings to <T>
ASSAULT	4	<S> engaged in ethnic cleansing to <T>
